EnsemblTranscriptID,Adrenal_PTR,Appendices_PTR,Brain_PTR,Colon_PTR,Duodenum_PTR,Endometrium_PTR,Esophagus_PTR,Fallopiantube_PTR,Fat_PTR,Gallbladder_PTR,Heart_PTR,Kidney_PTR,Liver_PTR,Lung_PTR,Lymphnode_PTR,Ovary_PTR,Pancreas_PTR,Placenta_PTR,Prostate_PTR,Rectum_PTR,Salivarygland_PTR,Smallintestine_PTR,Smoothmuscle_PTR,Spleen_PTR,Stomach_PTR,Testis_PTR,Thyroid_PTR,Tonsil_PTR,Urinarybladder_PTR,bed_files,fa_files
ENST00000263100,   NA,8.277,   NA,   NA,   NA,   NA,   NA,7.841,   NA,   NA,   NA,   NA,4.931,7.544,7.713,   NA,   NA,   NA,   NA,   NA,7.718,   NA,   NA,7.313,    NA,   NA,   NA,   NA,    NA,1,1
ENST00000373993,   NA,   NA,   NA,5.135,5.371,   NA,   NA,   NA,   NA,5.425,   NA,5.659,5.531,   NA,   NA,   NA,6.000,   NA,   NA,5.147,   NA,5.202,   NA,   NA,5.8143,   NA,   NA,   NA,    NA,1,1
ENST00000318602,6.290,6.328,5.948,5.811,6.068,5.383,5.881,6.119,6.410,5.828,5.108,5.482,4.877,4.959,6.126,6.243,5.550,5.903,5.680,6.081,5.726,5.699,4.997,5.136,6.5349,5.820,6.060,5.675,5.8286,1,1
ENST00000299698,   NA,   NA,3.995,   NA,   NA,   NA,4.129,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,    NA,2.350,   NA,5.249,    NA,1,1
ENST00000401850,3.843,4.601,   NA,   NA,   NA,   NA,4.013,3.683,   NA,   NA,   NA,4.535,   NA,4.846,   NA,   NA,   NA,2.537,   NA,4.731,4.508,   NA,   NA,   NA,4.0613,4.832,   NA,   NA,4.2430,1,1
ENST00000236709,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,   NA,4.3992,   NA,   NA,   NA,    NA,1,1
ENST00000209873,4.513,4.434,4.461,4.536,4.917,4.677,4.164,4.275,4.202,5.513,3.925,4.449,4.110,5.086,4.572,4.594,4.299,5.058,4.771,4.440,4.350,4.120,4.241,3.975,5.0890,4.991,4.651,4.505,4.4699,1,1
ENST00000316519,4.559,5.015,5.120,4.426,5.285,4.640,4.015,4.460,4.823,4.719,4.862,4.889,5.576,5.019,4.602,4.781,4.602,5.070,4.956,4.817,4.807,4.395,4.310,   NA,4.7653,4.552,4.588,4.901,4.8409,1,1
ENST00000232892,5.110,   NA,   NA,   NA,5.008,   NA,   NA,   NA,5.180,5.263,   NA,   NA,4.969,3.949,   NA,   NA,5.237,5.202,   NA,   NA,   NA,5.076,   NA,   NA,4.7098,   NA,   NA,   NA,    NA,1,1
ENST00000515480,5.227,   NA,4.165,4.115,   NA,4.801,5.671,3.805,4.962,5.573,4.240,4.831,5.658,4.121,   NA,4.059,2.688,5.247,3.807,4.282,   NA,   NA,   NA,   NA,4.5203,3.657,3.563,   NA,4.2271,1,1
